Document #,Store#,PO#,PO Date,Address1,City,State,Zip,Vendor #,Ship Date,Qty Sold,Unit of Measurement,Unit Price,UPC,Description,Document Total
107967,00002,POTest_107967_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,1,EA,9.75,726404750005,10" Green Basket,129
108001,00002,POTest_108001_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,1,EA,9.75,726404750005,10" Green Basket,139.15
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,2,EA,8,726404922044,Gallon Per--Lilies/Grasses,126.7
107967,00002,POTest_107967_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,2,EA,8,726404922044,Gallon Per--Lilies/Grasses,129
108001,00002,POTest_108001_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,1,EA,8,726404922044,Gallon Per--Lilies/Grasses,139.15
107566,00002,POTest_107566_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100414,1,EA,3.25,726404926004,Quart Perennial /10ct tray,24.6
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,3.25,726404926004,Quart Perennial /10ct tray,126.7
107967,00002,POTest_107967_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,2,EA,3.25,726404926004,Quart Perennial /10ct tray,129
107967,00002,POTest_107967_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,1,EA,13.2,726404987128,1204 Annual /12ct tray,129
107567,00003,POTest_107567_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,1,EA,6.75,726404010109,1 Gallon Shrub,178.6
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,3,EA,6.75,726404010178,1 Gallon Shrub,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,6.75,726404010178,1 Gallon Shrub,756.85
107567,00003,POTest_107567_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,1,EA,6.75,726404010352,1 Gallon Shrub,178.6
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,2,EA,8.15,726404010505,1 Gallon Vine,508.25
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,1,EA,8.15,726404010505,1 Gallon Vine,510.65
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,1,EA,6.5,726404010529,Small Fruits--Berries etc.,508.25
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,4,EA,6.5,726404010529,Small Fruits--Berries etc.,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,4,EA,6.5,726404010529,Small Fruits--Berries etc.,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,1,EA,8.15,726404010574,1 Gallon Shrub,510.65
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,8,EA,9.5,726404010659,Small Fruits--Berries etc.,508.25
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,2,EA,9.5,726404010659,Small Fruits--Berries etc.,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,3,EA,9.5,726404010659,Small Fruits--Berries etc.,756.85
107381,00003,POTest_107381_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100412,2,EA,9.5,726404010680,Small Fruits--Berries etc.,46.65
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,16,EA,9.5,726404010680,Small Fruits--Berries etc.,508.25
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,9.5,726404010680,Small Fruits--Berries etc.,579.35
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,16,EA,9.5,726404010703,Small Fruits--Berries etc.,508.25
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,9.5,726404010703,Small Fruits--Berries etc.,579.35
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,1,EA,9.5,726404010727,Small Fruits--Berries etc.,508.25
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,3,EA,9.5,726404010727,Small Fruits--Berries etc.,756.85
107381,00003,POTest_107381_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100412,3,EA,6.5,726404010802,Small Fruits--Berries etc.,46.65
107567,00003,POTest_107567_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,2,EA,6.5,726404010802,Small Fruits--Berries etc.,178.6
