CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,COLOR INK INC SBT             ,20100915            ,20100915            ,'771527961                    ,0009238.36

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03655          ,0000094.75,0000000000,000000000094.75,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03655          ,00000089.5,0000000000,0000000000089.5,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03655          ,00000025.5,0000000000,0000000000025.5,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03655          ,0000137.03,0000000000,000000000137.03,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03655          ,0000035.25,0000000000,000000000035.25,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03655          ,0000065.75,0000000000,000000000065.75,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03655          ,0000143.64,0000000000,000000000143.64,                         ,                         ,,20100912                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03735          ,0000000002,0000000000,000000000000002,                         ,                         ,,20100908                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03735          ,0000000008,0000000000,000000000000008,                         ,                         ,,20100910                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03759          ,0000000002,0000000000,000000000000002,                         ,                         ,,20100908                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03759          ,0000000002,0000000000,000000000000002,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03759          ,0000000004,0000000000,000000000000004,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03759          ,0000000012,0000000000,000000000000012,                         ,                         ,,20100912                      ,0000000000,'043                
